회수,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),의석,29.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정돈,32.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),존경,91.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),의정,27.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참으로,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노고,12.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조희연,32.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),비롯,34.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서도,92.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),사무,182.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),감사,900.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),수감,24.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정례,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육지원청,296.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정보원,67.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),예산안,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조례,158.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),효율,46.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),청과,11.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),별로,183.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),지방자치법,25.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울특별시,87.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),총무,53.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정실,17.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),앞서,21.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),말씀,1229.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정,143.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),연도,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),로서,97.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),지향,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),구현,20.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),위함,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),방어,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),태도,18.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),로만,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대응,48.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),임해,12.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),소기,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),먼저,174.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),선서,37.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서류,36.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),자가,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정해진,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기한,22.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),증인,175.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),증언,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),과태료,15.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부과,13.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),위증,11.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서면,20.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),답변,403.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),거짓,19.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),오른손,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서문,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),낭독,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기립,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서명,16.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),날인,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),직접,141.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),본인,48.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),소관,110.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),양심,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),보탬,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),그대로,53.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),맹세,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),이석,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),간부,43.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),소개,47.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),불구,174.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),장인,31.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),김경,80.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),인구,86.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부위,141.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),고견,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),매우,61.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평소,13.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성원,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대하,27.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),진심,13.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),특성화고,60.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교직원,92.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),누군가,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),우산,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),진정,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),머리,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),실습,25.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육과정,102.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),재능,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마음껏,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),감명,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),더욱,18.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),다짐,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),주시,223.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),걸음,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),밑거름,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),깊이,19.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),나은,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서두,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),김원,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성연,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),강연,14.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),백정,21.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생,157.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정해철,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),김현철,5.0
