회수,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),지방자치법,19.0
제303회[정례회](2021.11.01 ~ 2021.12.27),서울특별시,50.0
제303회[정례회](2021.11.01 ~ 2021.12.27),사무,144.0
제303회[정례회](2021.11.01 ~ 2021.12.27),감사,539.0
제303회[정례회](2021.11.01 ~ 2021.12.27),조례,101.0
제303회[정례회](2021.11.01 ~ 2021.12.27),총무,30.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정실,19.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육지원청,65.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정보원,36.0
제303회[정례회](2021.11.01 ~ 2021.12.27),앞서,22.0
제303회[정례회](2021.11.01 ~ 2021.12.27),말씀,940.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정,65.0
제303회[정례회](2021.11.01 ~ 2021.12.27),로서,34.0
제303회[정례회](2021.11.01 ~ 2021.12.27),지향,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),구현,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),위함,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대하,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),방어,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),자세,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대응,44.0
제303회[정례회](2021.11.01 ~ 2021.12.27),임해,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),소기,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),수감,18.0
제303회[정례회](2021.11.01 ~ 2021.12.27),선서,26.0
제303회[정례회](2021.11.01 ~ 2021.12.27),서류,11.0
제303회[정례회](2021.11.01 ~ 2021.12.27),자가,12.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정해진,14.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기한,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),증인,12.0
제303회[정례회](2021.11.01 ~ 2021.12.27),증언,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),과태료,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부과,22.0
제303회[정례회](2021.11.01 ~ 2021.12.27),위증,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),서면,15.0
제303회[정례회](2021.11.01 ~ 2021.12.27),답변,249.0
제303회[정례회](2021.11.01 ~ 2021.12.27),거짓,9.0
제303회[정례회](2021.11.01 ~ 2021.12.27),먼저,58.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김규태,11.0
제303회[정례회](2021.11.01 ~ 2021.12.27),오른손,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),서문,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),낭독,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기립,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),서명,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),날인,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),직접,80.0
제303회[정례회](2021.11.01 ~ 2021.12.27),본인,27.0
제303회[정례회](2021.11.01 ~ 2021.12.27),소관,54.0
제303회[정례회](2021.11.01 ~ 2021.12.27),양심,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),보탬,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),그대로,46.0
제303회[정례회](2021.11.01 ~ 2021.12.27),맹세,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),간부,18.0
제303회[정례회](2021.11.01 ~ 2021.12.27),소개,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),안녕하십니까,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),의정,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),불구,115.0
제303회[정례회](2021.11.01 ~ 2021.12.27),존경,53.0
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연,46.0
제303회[정례회](2021.11.01 ~ 2021.12.27),병주,36.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부위,70.0
제303회[정례회](2021.11.01 ~ 2021.12.27),항상,22.0
제303회[정례회](2021.11.01 ~ 2021.12.27),염두,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),상응,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),주시,168.0
제303회[정례회](2021.11.01 ~ 2021.12.27),임기,24.0
제303회[정례회](2021.11.01 ~ 2021.12.27),코로나,123.0
제303회[정례회](2021.11.01 ~ 2021.12.27),시국,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),래서,9.0
제303회[정례회](2021.11.01 ~ 2021.12.27),더욱,16.0
제303회[정례회](2021.11.01 ~ 2021.12.27),고견,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),매우,57.0
제303회[정례회](2021.11.01 ~ 2021.12.27),배움,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),배석,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),승복,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),현석,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),이민,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),최웅,8.0
