회수,의원명,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,장인,19.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,파견,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,용역,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,노동자,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,정규직,14.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,고령자,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,직종,25.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,당직,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,청소원,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,무기계약직,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,정년,9.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,세로,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,무기,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,어쨌든,117.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,나이,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,해고,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,얘기,108.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,답변,10.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,설정,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,긍정,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,관행,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,가이드라인,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,신지,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,허락,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,청소,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,건가,13.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,형평성,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장인홍 위원,퍼센티지,1.0
