회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,존경,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,장인,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,김경,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,부원장,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,인구,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,부위,8
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,안녕하십니까,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,서울특별시,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,박건호,27
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,최대한,7
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,주시,5
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,고견,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,더욱,4
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,앞서,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,간부,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,소개,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,서경수,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,유아교육,8
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,정혜,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,초등교육,4
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,중등교육,6
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,강연,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,송재,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,먼저,3
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,보고서,2
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,전문직,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,부서,2
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,참고,4
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,예산,9
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,직제,2
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,원리,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,맞이,2
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,그간,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,심화,2
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,종합예술,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,내외,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,연습실,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,공연장,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,초등학교,10
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,잠재,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,함양,2
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,영재교육,4
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,실화,5
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,융합,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,문제해결,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,노후,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,실험실,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,소외,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,계층,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,메이커,4
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,창작,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,스페이스,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,거점,3
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,괴짜,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,통한,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,유아기,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,교육과정,11
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,방과후,6
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,활성화,3
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,케어,2
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,온종일,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,하모니,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,자원봉사자,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,한글,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,장학,12
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,배움,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,만들기,2
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,동아리,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,탐구,2
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,교사,9
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,전문성,5
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,신장,3
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,나눔,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,도제,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,자율,5
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,맞벌이,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,소득,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,한부모,1
