회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,인구,18
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,답변,25
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,부탁,16
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,강동,2
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,고요,11
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,먼저,7
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,마리,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,토끼,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,고생,16
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,조희연,2
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,보태,2
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,매우,7
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,측면,20
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,예산,92
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,실행,5
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,정말,29
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,말씀,99
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,그다음,68
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,무상급식,17
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,자치구,6
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,방금,5
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,나머지,9
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,구도,2
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,얘기,116
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,구가,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,실질,27
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,급식,67
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,사원,2
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,영양,3
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,교사,24
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,영양사,13
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,조리,6
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,나름,37
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,뭔가,28
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,주무,3
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,부서,29
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,그대로,18
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,마찬가지,23
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,자재,6
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,친환경,16
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,사무,6
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,보건,28
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,진흥,76
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,조직개편,5
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,서도,17
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,참고,8
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,거지,5
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,아주,14
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,그게,27
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,잘못,4
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,기적,3
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,불구,31
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,처방,5
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,어쨌든,52
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,전적,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,문제점,36
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,과감,2
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,설정,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,가야,4
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,직접,11
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,존경,9
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,시간제,11
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,전일,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,제의,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,교차,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,상존,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,직분,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,불협화음,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,서로,8
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,점도,2
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,수반,7
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,치유,3
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,법령,9
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,나가야,5
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,가시,7
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,부서장,2
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,경로,4
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,법적,13
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,토대,9
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,비근,2
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,상대성,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,달리,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,기조,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,듭니,12
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,임기,7
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,보좌,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,진과,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,항상,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,자세,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,정성,2
