회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,서류,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,안전,19.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,보고서,16.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,그다음,40.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,답변,12.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,조희연,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,부산광역시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,대구광역시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,경상남도,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,얘기,21.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,계층,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,이십,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,말씀,52.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,무상급식,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,건의,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,경기도,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,인천광역시,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,선두,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,주자,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,진보,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,엊그제,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,원금,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,소비,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,계시,11.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,이석,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,드릴,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,한번,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,시공,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,복지,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,어울림,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,플라자,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,아시,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,장애인,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,시위,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,메모,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,치과,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,공연장,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,수영장,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,준공,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,백석,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,초등학교,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,통학로,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,불가,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,님비,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,학부모,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,먼저,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,부자,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,자도,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,구성원,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,교육행정,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,색깔,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,집값,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,혐오,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,부모,11.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,대가,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,주지,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,서진,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,헌신,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,동참,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,조속,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,시일,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,착공,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,성원,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,김용연,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,교직원,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,교사,12.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,수가,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,공설,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,리스트,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,강서,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,선거구,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,생태,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,그대로,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,반문,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,전문성,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,종사,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,전공,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,취득,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,계세,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,거지,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,학과,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,의아,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,하필,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,그게,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,배정,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,그냥,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,뺑뺑,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,느낌,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,건데,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,법적,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,민관,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,생활화,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,탈바꿈,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,예산,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,코로나,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,형식,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,거기,21.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,내지,13.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,퀄리티,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,구해,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,달라,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,군데,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,추세,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,그로,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,자꾸,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,문제점,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,차이,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,반절,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,연봉,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,내규,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,병설,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,경력,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,가게,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,초과,1.0
