회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,원금,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,명칭변경,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,비리,13.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,이동현,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,상영,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,개시,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,종료,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,계시,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,서라벌,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,단면,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,사립학교,12.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,인척,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,사립학교법,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,교사,37.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,불구,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,학교법인,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,수가,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,고요,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,간의,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,아들,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,동생,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,사무직원,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,의거,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,정관,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,정의,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,실장,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,단호,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,법적,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,권한,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,수단,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,과감,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,의향,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,일례,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,답변,11.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,말씀,27.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,강구,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,조희연,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,존재,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,먼저,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,견해,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,그다음,36.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,교육부,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,공조,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,해주시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,필요성,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,교육기본법,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,거기,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,유아교육,11.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,초등교육,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,중등교육,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,고등교육,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,유아교육법,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,대학교,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,형평,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,개칭하,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,타당,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,국민학교,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,초등학교,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,개칭했어,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,일제,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,잔재,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,이기,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,개칭,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,전례,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,어휘,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,우리말,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,단어,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,달리,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,파생어,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,로서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,주로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,미숙,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,상대방,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,표현,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,이처럼,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,강득구,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,의원님,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,자꾸,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,원래,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,모델,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,교육과정,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,학부모,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,학비,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,취지,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,대유,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,명신,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,나름,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,원기준,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,수익,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,출연,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,돌이,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,예산,11.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,진짜,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,연구기관,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,사유재산,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,법인화,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,나중,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,잔여재산,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,국고,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,귀속,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,아마,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,면제,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,실질,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,한번,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,교직원,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,운영자,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,항간,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,말로,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,장사,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,퇴로,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,곳도,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,코로나,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,유치원교사,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,고충,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,사태,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,저출산,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,교육비,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,상한,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,대요,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,문제점,14.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,별로,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,연도,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,소비자,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,물가상승률,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,초과,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,조항,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,직전,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,광진,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,교육지원청,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,비교,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,경비,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,화비,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,원대,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,최저,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,차액,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,개년,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,금액,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,상관,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,천차만별,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,장님,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,균형감각,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,애가,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,부모님,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,관점,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,무조건,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,어쨌든,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,가능성,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,발송,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,차이점,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,주시,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,굳이,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,아주,11.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,첫째,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,활성화,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,구심,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,정체,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,절대,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,포기,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,그대로,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,런가,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,극복,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,지원이,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,유기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,감히,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,만큼,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,상임,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,일환,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,미달,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,애초,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,지하,1.0
