회수,발언자,발언수
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,1020
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,816
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,792
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,684
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,653
제284회[정례회] (2018.11.01 ~ 2018.12.20),조상호 위원,643
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,591
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,559
제284회[정례회] (2018.11.01 ~ 2018.12.20),최기찬 위원,422
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,409
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,389
제284회[정례회] (2018.11.01 ~ 2018.12.20),기획조정실장 권성연,385
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,355
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,347
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,325
제284회[정례회] (2018.11.01 ~ 2018.12.20),부교육감 김원찬,265
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,262
제284회[정례회] (2018.11.01 ~ 2018.12.20),여명 위원,256
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,255
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,167
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,152
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,124
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,121
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,109
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,100
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,96
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,95
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,95
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,91
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,90
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,84
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,84
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,80
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,69
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육진흥원장 권미애,65
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,60
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,59
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,56
제284회[정례회] (2018.11.01 ~ 2018.12.20),대변인 김현철,55
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,50
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,44
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,39
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,38
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,38
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육연구정보원장 이재근,29
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,28
제284회[정례회] (2018.11.01 ~ 2018.12.20),참여협력담당관 양희두,28
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생체육관장 이정순,22
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,22
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교안전공제회사무국장 이무수,21
제284회[정례회] (2018.11.01 ~ 2018.12.20),성동광진교육지원청교육장 윤오영,21
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,21
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,18
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교안전공제회이사장 김형태,16
제284회[정례회] (2018.11.01 ~ 2018.12.20),노사협력담당관 김양주,16
제284회[정례회] (2018.11.01 ~ 2018.12.20),탑건축사사무소대표 전희,14
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육연수원장 이혜련,13
제284회[정례회] (2018.11.01 ~ 2018.12.20),마포평생학습관장 정재헌,12
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,8
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,8
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,5
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,3
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육지원국장 홍민표,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장장 박건호,1
제284회[정례회] (2018.11.01 ~ 2018.12.20),부위원장 황인구,1
