회수,발언자,발언수
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,563
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,476
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,471
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,437
제298회[정례회](2020.11.02 ~ 2020.12.22),황인구 위원,425
제298회[정례회](2020.11.02 ~ 2020.12.22),권순선 위원,422
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,412
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,307
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,270
제298회[정례회](2020.11.02 ~ 2020.12.22),김수규 위원,247
제298회[정례회](2020.11.02 ~ 2020.12.22),김생환 위원,219
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연 위원,201
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,186
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,183
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,175
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,144
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,127
제298회[정례회](2020.11.02 ~ 2020.12.22),학교보건진흥원장 박상근,126
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,125
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,115
제298회[정례회](2020.11.02 ~ 2020.12.22),전병주 위원,107
제298회[정례회](2020.11.02 ~ 2020.12.22),문영민 위원,96
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,94
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,88
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,80
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,47
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,44
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,40
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,39
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,38
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,38
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,33
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,31
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 전병주,20
제298회[정례회](2020.11.02 ~ 2020.12.22),체육건강문화예술과장 조용훈,19
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,16
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,11
제298회[정례회](2020.11.02 ~ 2020.12.22),학생교육원장 이종탁,9
제298회[정례회](2020.11.02 ~ 2020.12.22),대변인 성현석,9
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,8
제298회[정례회](2020.11.02 ~ 2020.12.22),참여협력담당관 강연실,7
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,7
제298회[정례회](2020.11.02 ~ 2020.12.22),교육재정과장 김정애,6
제298회[정례회](2020.11.02 ~ 2020.12.22),교육혁신과장 양영식,6
제298회[정례회](2020.11.02 ~ 2020.12.22),마포평생학습관장 김원식,4
제298회[정례회](2020.11.02 ~ 2020.12.22),행정관리담당관 김중락,3
제298회[정례회](2020.11.02 ~ 2020.12.22),동대문도서관장 오세규,2
제298회[정례회](2020.11.02 ~ 2020.12.22),학생체육관장 선우순애,1
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김용연,1
