회수,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),지방자치법,17.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),방법,138.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육방법,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),헌법,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),보호법,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),편법,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김영란법,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),사학법,11.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초ㆍ중등교육법,19.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),사립학교법,23.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),고등교육법,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),불법,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),합법,16.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),청탁금지법,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육법,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성폭력방지법,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영유아보육법,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),지방재정법,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),제법,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),입법,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),접근방법,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대법,12.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노동법,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),독일헌법,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),건축법,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),공법,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),자재공법,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교통법,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),도로교통법,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),도로법,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),회계법,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),행정법,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),고등법,4.0
