회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,금천,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,구덕,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,금천구,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,아이쿱생협,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,거기,14.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,의향,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,말로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,임기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,원래,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,가야,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,예산,11.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,그게,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,무기계약직,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,끝내,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,얘기,41.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,말씀,22.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,시지,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,환대,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,당황,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,한번,14.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,공증,10.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,총회,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,의사록,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,적지,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,면제,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,원가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,내야,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,어쨌든,23.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,교육부,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,법무부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,허락,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,지난번,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,시오,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,입학생,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,조합원,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,무리,2.0
