회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,안녕하십니까,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,강동,12.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,송파,12.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,교육지원청,17.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,교육장,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,병혁,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,존경,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,김생,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,장인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,송재형,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,부위,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,의정,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,각별,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,대하,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,강남,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,진심,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,감사,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,말씀,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,매우,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,서울특별시,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,사무,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,더욱,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,소개,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,장석,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,박수찬,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,나병,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,강서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,양천,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,최병갑,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,서초,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,성계,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,조상,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,동작,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,관악,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,심금,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,간부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,순서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,먼저,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,예산,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,배부,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,책자,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,참고,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,교육비,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,우정,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,지표,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,지성,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,감성,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,인성,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,가능성,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,교사,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,학부모,10.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,어울림,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,교육행정,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,산업혁명,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,상상,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,프로젝트,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,통한,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,자율,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,학회,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,형성,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,교육과정,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,초등학교,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,저학년,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,공교육,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,각오,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,학습자,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,교구,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,청소,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,개교,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,운영체제,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,선도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,고하,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,적성,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,별로,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,복지,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,자원,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,자치구,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,네트워크,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,빈틈,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,구현,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,교육활동,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,회실,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,원탁,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,자발,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,학교폭력,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,만들기,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,지구별,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,교직원,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,성폭력,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,어깨동무,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,위생,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,급식,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,식중독,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,노후,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,축하,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,조리기구,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,실효,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,투명,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,안전,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,역점,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,종합예술,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,운동회,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,효율,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,연습실,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,문단,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,실화,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,협업,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,함양,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,대항,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,신체,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,금년,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,잠실,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,여울,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,특색,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,생태계,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,참조,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,보고서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,실음,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,교내,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,수상자,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,수가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,아주,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,원래,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,의도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,주기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,여름철,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,기상이변,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,지출,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,위험성,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,실사,1.0
