회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청행정지원국장 안은용,강동,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청행정지원국장 안은용,송파,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청행정지원국장 안은용,교육지원청,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청행정지원국장 안은용,교육장,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청행정지원국장 안은용,말씀,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청행정지원국장 안은용,여름,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청행정지원국장 안은용,장마,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청행정지원국장 안은용,태풍,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청행정지원국장 안은용,일괄,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청행정지원국장 안은용,배정,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청행정지원국장 안은용,요구사항,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청행정지원국장 안은용,월요일,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청행정지원국장 안은용,별로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청행정지원국장 안은용,나름,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청행정지원국장 안은용,예산,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청행정지원국장 안은용,일률,1.0
