회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,성언,15.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,항상,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,송재형,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,부위,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,말씀,13.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,맥락,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,공석,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,지장,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,마땅치,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,내지,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,제청,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,부시장,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,조실,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,서울시장,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,전적,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,수가,27.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,거기,28.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,폐단,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,아예,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,권시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,도래,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,개헌,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,기도,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,모로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,지방직,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,실장,13.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,실질,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,법적,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,래야,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,사태,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,오지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,재선,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,염두,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,교육부,2.0
