회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,안녕하십니까,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,서울특별시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,전시관,19.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,김선주,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,주시,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,존경,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,김생,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,장인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,부위,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,송재형,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,비롯,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,진심,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,감사,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,간부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,소개,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,강영숙,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,무부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,김호산,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,김종,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,산업혁명,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,선도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,융합,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,연혁,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,남산,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,관악구,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,개관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,직제,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,낙성대로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,본관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,실험,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,천문대,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,생태학,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,습관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,중랑구,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,구로구,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,예산,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,예산현,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,창의성,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,교사,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,전문성,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,소양,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,미션,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,구현,1.0
