회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,선서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,본인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,서울특별시,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,지방자치법,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,소관,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,사무,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,감사,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,양심,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,보탬,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,그대로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,진술,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,서면,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,답변,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,거짓,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,위증,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,맹세,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,본부장,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,정해철,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,안녕하십니까,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,존경,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,김생,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,모시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,매우,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,앞서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,먼저,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,간부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,소개,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,정호,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,무부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,김재환,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,관리부장,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,임시회,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,감안,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,실적,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,참조,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,예산,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,예산현,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,상세,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,참고,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,직속,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,직접,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,방수,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,조경,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,설비,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,전기,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,능인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,설정,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,원스톱,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,별로,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,실시간,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,일수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,획기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,단축,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,계단,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,슬립,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,출입문,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,힌지,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,단순,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,공종은,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,지원이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,발주,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,외부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,도장,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,플로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,화장실,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,냄새,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,억제,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,트랩,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,우레,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,탄성,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,포장재,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,용역,15.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,전문성,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,효율,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,높이,1.0
