회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,안전,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,최영식,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,소요,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,예산,14.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,설비,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,바람,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,추경,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,성능,11.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,특등,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,갑자기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,용역,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,나머지,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,포괄,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,피하,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,자고,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,보강,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,미리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,보시,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,겨울방학,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,내진,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,강도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,궤도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,내후년,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,시공,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,잡고,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,말씀,16.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,이월,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,먼저,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,금액,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,면제,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,거가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,여름방학,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,내지,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,학업,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,문제점,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,한정,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,숙제,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,석면,10.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,달라,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,방기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,수가,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,상주,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,잡지,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,속담,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,딜레마,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,하여튼,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,교육부,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,거기,18.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,개략,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,기억,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,매년,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,무려,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,염려,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,고치,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,잘못,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,경량,7.0
