회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,선서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,본인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,서울특별시,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,지방자치법,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,소관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,사무,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,감사,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,양심,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,보탬,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,그대로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,진술,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,서면,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,답변,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,거짓,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,위증,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,맹세,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,정보원,11.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,이재근,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,안녕하십니까,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,주시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,존경,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,김생,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,비롯,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,모시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,매우,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,앞서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,간부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,소개,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,금여송,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,무부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,백정,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,연구소장,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,정연수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,교육과정,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,진학,14.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,유선,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,책자,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,참고,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,보고서,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,연혁,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,연구소,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,과로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,전문직,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,명의,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,예산,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,부서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,예산현,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,참조,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,구현,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,교육활동,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,뒷받침,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,건의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,수행,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,덴마크,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,세미나,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,연차,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,발간,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,페이퍼,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,직속,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,종단,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,초등학교,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,패널,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,시계열,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,금년,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,로서,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,학술,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,학업,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,성취,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,사교육비,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,교사,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,전문성,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,논문,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,자율,10.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,유아교육,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,실화,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,총괄,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,구성원,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,자발,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,고취,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,자율성,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,책무,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,활성화,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,신장,2.0
