회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,교육재정,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,이길환,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,돕기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,입찰,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,말씀,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,차이점,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,계약법,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,전기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,수의계약,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,방금,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,금액,13.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,보증금,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,상대자,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,격심,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,최저,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,차이,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,실적,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,용어,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,실질,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,라든지,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,설계서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,리기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,가격,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,내지,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,도면,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,시방서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,산출,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,아주,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,생략,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,부가세,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,비교,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,타당,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,과거,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,로만,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,크게,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,대별,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,중간,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,상의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,형식,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,과업,1.0
