회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정보화과장 이숙자,정보화,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정보화과장 이숙자,이숙자,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정보화과장 이숙자,직속,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정보화과장 이숙자,라면,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정보화과장 이숙자,컴퓨터,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정보화과장 이숙자,클라우드,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정보화과장 이숙자,크게,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정보화과장 이숙자,지식,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정보화과장 이숙자,전산,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정보화과장 이숙자,강동,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정보화과장 이숙자,소산,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정보화과장 이숙자,보관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정보화과장 이숙자,실시간,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정보화과장 이숙자,백업,1.0
