회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,윤오영,11.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,말씀,63.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,자격증,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,교사,45.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,제대로,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,전공,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,차출,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,원래,13.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,의향,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,절대로,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,저번,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,하드웨어,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,수가,14.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,순회,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,음악,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,미술,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,담임,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,로서,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,수급,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,교육부,60.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,조례,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,대리,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,달라,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,반려,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,형태,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,고요,14.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,어쨌든,11.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,법적,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,사학법,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,파면,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,견책,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,직위,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,자사고,10.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,요강,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,미달,27.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,재작년,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,배자,12.0
