회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,안녕하십니까,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,교육행정,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,종대,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,존경,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,김생,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,매우,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,앞서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,소개,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,신재웅,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,이길환,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,교육재정,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,최영식,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,안전,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,이숙자,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,정보화,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,배부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,예산,13.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,나머지,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,책자,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,참조,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,부서,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,소관,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,선제,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,대응,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,감축,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,추진단,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,형태,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,통폐합,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,특수교육,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,강서,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,서초,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,중랑,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,개교,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,강서구,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,서초구,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,착공,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,중랑구,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,기피,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,극복,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,창구,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,편익,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,병행,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,상호,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,투명,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,자율,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,수익,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,건전성,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,비리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,임원,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,선임,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,취하,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,정상화,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,통한,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,학부모,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,인건비,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,정산,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,검증,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,회계,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,장비,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,노후,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,협소,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,개축,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,불가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,허브,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,형상,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,용역,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,복합,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,탄생,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,개포,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,개관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,화로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,규사,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,재건축,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,첨단,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,체납,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,입금,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,징수,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,부진,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,효율,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,극대,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,조회,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,은행,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,계좌,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,압류,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,세금,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,노하우,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,전수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,더욱,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,멘토링,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,활성화,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,오류,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,청렴,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,구현,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,취약,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,리스트,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,건의,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,매뉴얼,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,서류,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,간소화,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,도시가스,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,정압,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,존치,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,가스,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,조속,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,친환경,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,강당,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,증축,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,화장실,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,교의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,운동장,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,순위,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,금회,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,사용자,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,모델링,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,초등학교,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,협업,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,교무,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,실의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,색채,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,내진,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,보강,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,유해,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,정밀,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,교육지원청,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,분산,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,중인,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,자원,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,중복,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,절감,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,강동,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,송파,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,금년,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,원격,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,백업,3.0
