회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,병화,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,건가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,전시관,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,감당,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,영재교육,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,축소,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,교사,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,관공서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,가중,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,동아리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,리더,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,컴퓨터,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,리드,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,소프트웨어,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,교육과정,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,이수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,여유,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,코딩,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,어차피,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,메이커,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,스페이스,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,지난번,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,계시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,대적,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,겨울방학,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,마찬가지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,수가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,추경,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,초등학교,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,도래,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,예산,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,보통,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,상상,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,중요성,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,제의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,내내,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,나름,1.0
