회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,존경,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,김생,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,안녕하십니까,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,서울특별시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,실장,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,정병,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,정실,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,간부,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,소개,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,일괄,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,조실,10.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,생략,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,국별,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,예산,24.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,부서,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,먼저,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,참고,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,실의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,쪽수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,표시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,안착,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,만큼,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,온라인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,위촉,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,체감,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,목요일,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,아침,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,초청,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,청취,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,환류,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,담론,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,실행,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,상상,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,프로젝트,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,통한,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,바탕,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,자율,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,운영체제,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,총량제,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,밀착,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,자율성,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,금년,2.0
