회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),김경자,16.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),양천,15.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),급식,20.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),단일,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),고생,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),행감,14.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),자위,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),평생교육,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),관실,10.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),위로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),중복,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),통계,10.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),수치,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),지난번,34.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),성범죄자,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),가해자,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),명예,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),피해자,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),교육부,33.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),계해,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),개인정보,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),개별,13.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),해명,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),재심,14.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),청하면,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),감형,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),전의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),훈포장,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),절대,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),말씀,39.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),스트라이크아웃,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),불구,34.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),일례,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),선거구,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),유권자,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),강서,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),한번,19.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),일벌,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),부서,23.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),제대로,13.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),얘기,41.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),정권,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),드라이브,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),전번,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),자사고,39.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),중등교육,15.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),사립학교법,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),부칙,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),졸속,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),법적,19.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),미비,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),조항,15.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),소급,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),특혜,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),팔로우,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),래야,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),급공무원,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),윤리,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),강령,3.0
