회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,김동욱,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,총무,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,손영순,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,최웅,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,장님,19.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,격무부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,계세,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,협업,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,휴가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,유연근무제,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,통한,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,재배,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,진작,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,격려,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,먼저,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,칭찬,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,자살,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,파생,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,문제점,32.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,정권,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,미세먼지,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,공기청정기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,자꾸,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,제대로,35.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,예산,66.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,얘기,119.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,피로,2.0
