회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,김진수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,천만,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,교육행정,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,불철,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,주야,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,감사,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,축약,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,표현,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,말씀,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,백년,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,지대,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,아시,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,인성,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,함양,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,지식,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,습득,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,체력,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,주역,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,서도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,산업혁명,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,다보스,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,보고서,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,고용,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,패러다임,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,대변,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,화가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,선진국,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,일자리,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,마찬가지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,궤도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,재편,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,수장,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,신지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,자꾸,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,금년,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,구체화,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,상상,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,프로젝트,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,별로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,커리큘럼,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,전혀,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,나름,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,뭔가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,소프트웨어,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,인프라,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,사정,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,복지부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,예산,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,나머지,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,낙후,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,재선,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,출마,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,당선,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,치중,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,보더,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,최소한,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,로드맵,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,형성,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,여하튼,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,편이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,염두,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,두시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,큰일,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,장애인,15.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,수가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,경운,1.0
