회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,노사,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,김양,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,주입,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,봉급,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,세입,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,노동,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,임금,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,법적,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,소송도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,말씀,15.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,동일,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,봉제,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,달라,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,연봉,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,제로,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,자격증,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,구별,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,부류,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,이기,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,사람인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,인지상정,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,비정규직,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,정규직,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,구성은,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,가야,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,공통,1.0
