회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,안녕하십니까,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,이상수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,존경,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,김생,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,장인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,부위,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,송재형,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,비롯,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,드릴,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,매우,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,순서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,예산,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,보고서,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,공보,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,명의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,소관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,이해도,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,높이,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,매체,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,예산현,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,자의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,보도자료,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,발굴,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,왜곡,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,해명,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,주간,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,예측,1.0
