회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,교육지원청,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,교육장,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,윤석,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,감사,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,지원청,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,초등학교,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,청도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,마찬가지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,예산,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,특정,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,말씀,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,주기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,클린,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,순간,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,예측,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,경비,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,성격,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,요즘,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,목별,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,별로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,액수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,정해진,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,수의계약,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,입찰,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,이상은,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,역청,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,알기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,추경,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,기억,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,인건비,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,예산현,1.0
