회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,안녕하십니까,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,서울특별시,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,마포평생학습관,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,이연주,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,사무,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,감사,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,존경,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,김생,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,장인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,부위,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,송재형,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,모시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,평생,23.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,습관,13.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,앞서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,관장,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,소개,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,고덕평생학습관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,권호석,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,노원,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,김성국,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,영등포,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,김석일,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,드릴,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,순서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,역점,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,먼저,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,참고,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,지식,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,구현,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,가능성,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,예산,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,생애,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,기별,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,강좌,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,욕구,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,고취,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,장애인,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,소외,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,계층,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,수강,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,계좌,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,학습자,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,이력,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,제로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,실화,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,기하,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,의무교육,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,학업,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,문해,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,확장,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,신장,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,비문,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,어르신,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,푸른,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,중학,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,정과정,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,교육과정,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,체험학습,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,운동회,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,발표회,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,동아리,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,배움,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,증진,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,심신,1.0
