회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,형주,11.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,조희연,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,공교육,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,정상화,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,박수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,그저께,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,덴마크,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,명인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,행감,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,통계,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,천만,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,유럽,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,가도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,외고,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,자율,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,점점,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,뭔가,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,국제고,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,혼동,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,하향,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,평준화,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,진보,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,백년,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,지대,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,특수성,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,좌충우돌,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,수가,11.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,말씀,55.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,먼저,11.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,청렴,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,하위,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,연속,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,거기,17.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,강도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,스트라이크아웃,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,제만,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,학폭위,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,기부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,기록,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,무조건,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,학교폭력,17.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,책무,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,전화번호,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,아주,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,중간,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,개인정보,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,핸드폰,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,번호,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,다이어트,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,나이스,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,접근권,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,전혀,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,정말,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,연락처,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,간부,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,역청,10.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,오픈,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,가면,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,갈수록,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,시민단체,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,의제,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,정리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,교습,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,과외,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,세금,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,소나,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,더욱,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,통제,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,제나,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,편법,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,열기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,선제,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,수의계약,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,원래,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,입찰,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,김영란,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,수단,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,통상,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,계약서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,그다음,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,꼴찌,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,보지,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,워낙,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,법대,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,잘못,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,대요,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,구석구석,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,바람,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,미세,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,학계,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,보건,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,실질,15.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,주무관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,급식,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,초미세먼지,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,항상,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,라든지,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,직제,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,편이,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,보강,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,먼지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,미리,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,관점,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,형식,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,용액,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,비비,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,예산,47.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,용이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,당황,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,제대로,14.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,얘기,27.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,가용,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,금액,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,불구,22.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,불용,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,글쎄요,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,편리,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,지출,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,포괄,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,장님,10.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,교육장,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,강동,5.0
