회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,임세훈,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,교육과정,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,계해,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,오해,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,관점,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,그게,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,보이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,텔스,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,바흐,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,말씀,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,태동,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,기기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,도안,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,덕목,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,나름,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,보완,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,확신,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,지점,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,시드머니,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,예산,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,투여,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,융통성,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,학생회,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,모델,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,답변,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,극복,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,주로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,스펙,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,부작용,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,부서,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,교육활동,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,구체화,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,경기도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,표준,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,교안,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,저작권,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,허가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,인쇄,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,배부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,교재,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,화용,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,꿀팁,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,노동,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,문관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,김생,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,조례,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,금년,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,특성화고,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,사이버,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,아르바이트,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,제대로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,존중,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,자치구,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,복지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,그림,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,머릿속,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,다문화,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,이중,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,적응,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,거기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,비학,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,제도로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,귀국,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,주거지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,다소간,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,형태,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,그다음,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,담임,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,코티칭하,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,적응력,1.0
