회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,행감,13.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,임시회,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,정례,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,조례,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,대안교육,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,예산,31.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,에이스,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,출결,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,성적,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,고도화,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,그다음,49.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,증액,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,교재,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,상담사,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,조실,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,실장,24.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,전화,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,표현,15.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,교육부,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,폐단,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,주체,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,건의,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,감사,49.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,말씀,60.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,먼저,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,초등학교,10.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,병설,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,기억,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,개지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,개교,11.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,추경,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,내진,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,성능,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,간과,13.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,나름,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,사정,5.0
