회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,조실,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,행정감사,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,건의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,안전,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,매년,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,오경환,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,행감,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,케이스,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,답변,10.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,안전교육,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,매뉴얼,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,재난,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,알기,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,고별,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,웨이트,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,달리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,보완,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,애로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,말씀,28.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,보충,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,나중,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,단가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,워낙,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,교육부,11.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,보전,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,고요,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,대개,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,사정,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,아이러니,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,거기,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,대가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,교사,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,접근,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,부적,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,그다음,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,장려,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,상당,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,종교법,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,교회,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,성당,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,이기,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,반납,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,거나,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,기부채납,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,학교법인,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,귀속,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,재산권,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,크게,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,제약,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,요인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,법률,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,얘기,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,예산,33.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,추경,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,보지,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,전출,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,발행,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,원래,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,통상,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,한번,10.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,절대,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,재량,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,수입,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,절감,10.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,일상,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,드릴,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,수가,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,국고,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,진보,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,정말,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,아이디어,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,헌신,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,입찰,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,보통,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,자로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,포상,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,금액,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,마냥,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,리기,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,측면,1.0
