회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,의석,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,정돈,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,감사,45.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,이내,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,보충,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,답변,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,먼저,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,형주,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,수고,17.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,장인,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,부위,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,김경자,15.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,양천,15.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,구덕,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,마침,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,장님,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,계시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,정병,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,대행,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,교사,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,임용,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,인구,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,절벽,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,아마,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,정말,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,잘해야,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,미리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,듭니,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,교육부,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,부감,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,수급,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,교육행정,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,전문직,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,현직,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,세로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,달라,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,감안,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,총무,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,정실,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,교육지원청,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,사무,19.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,열의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,진심,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,비롯,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,숭의,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,수단,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,성언,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,지원청,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,예산,16.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,말씀,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,사립학교,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,비정상,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,스쿨존,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,옹벽,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,안전,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,허기,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,야간,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,직종,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,사자,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,강구,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,김동욱,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,중복,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,자치구,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,만전,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,가혹,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,격리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,복지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,이정훈,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,비정규직,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,시책,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,금일,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,관장,2.0
