회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,송재형,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,부위,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,수고,21.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,이정훈,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,성언,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,김경자,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,양천,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,첨언,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,학생인권,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,미리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,보도자료,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,거기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,공통,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,느낌,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,성의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,그다음,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,극적,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,관료,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,비서실,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,수위,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,조절,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,오해,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,깊이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,아마,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,서신,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,달라,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,견해,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,만전,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,기해,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,허기,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,감사,24.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,중식,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,이의,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,선포,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,형주,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,김동욱,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,휴식시간,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,구덕,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,보충,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,순서,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,휴식,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,상록,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,투여,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,예산,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,법적,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,시일,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,어쨌든,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,공제,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,과거,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,별로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,인기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,시오,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,구분,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,샌드위치,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,패널,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,경량,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,칸막이,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,스티로폼,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,건가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,상호,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,답변,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,교육행정,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,안전,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,소관,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,사무,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,금일,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,서울특별시,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,임해,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,종대,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,비롯,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,오경환,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,장인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,고교선택제,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,과도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,설정,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,마케팅,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,자사고,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,남녀,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,성비,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,불균형,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,불평등,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,심화,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,요한,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,로드맵,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,청소용역,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,위생,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,일괄,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,용역,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,나이스,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,급식,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,물품,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,난립,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,포털,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,사립학교,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,법정,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,납부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,수익,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,폐교,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,건의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,문제해결,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,주시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,화요일,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,회의실,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,종료,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,산회,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,의석,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,정돈,1.0
