회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,북부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,교육지원청,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,교육장,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,정인순,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,사립학교법,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,주체,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,소유,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,수가,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,타계,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,동산,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,가야,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,유예,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,부모님,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,어차피,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,그게,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,자구,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,분산,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,그다음,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,병설,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,예산,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,도저히,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,상경,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,일초,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,곡초,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,나름,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,어쨌든,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,심사숙고,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,가까이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,거기,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,놨는데,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,멀리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,학부모,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,수용률,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,점점,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,합당,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,상곡,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,아들,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,재건축,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,안전,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,얘기,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,기도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,별개,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,이해해,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,주시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,장님,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,초등학교,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,사무,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,감사,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,바람,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,아침,1.0
