회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),서대문도서관장 민정숙,서대문,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서대문도서관장 민정숙,관장,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서대문도서관장 민정숙,민정,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서대문도서관장 민정숙,양쪽,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서대문도서관장 민정숙,자동,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서대문도서관장 민정숙,여지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서대문도서관장 민정숙,주차,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서대문도서관장 민정숙,일손,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서대문도서관장 민정숙,이용자,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서대문도서관장 민정숙,실랑이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서대문도서관장 민정숙,예산,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서대문도서관장 민정숙,부탁,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서대문도서관장 민정숙,얘기,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서대문도서관장 민정숙,애정,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서대문도서관장 민정숙,모델링,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서대문도서관장 민정숙,나름,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서대문도서관장 민정숙,거지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서대문도서관장 민정숙,재건축,1.0
