회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,교육장,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,이용환,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,허락,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,여중,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,상관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,배정,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,특정,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,공교,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,특혜,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,시비,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,아마,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,인창,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,초과,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,소지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,근거리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,어차피,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,독립문,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,한성,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,중이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,수색동,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,번지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,계약해지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,미숙,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,말씀,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,바람,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,부인,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,모양,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,요양원,1.0
