회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,선서,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,본인,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,서울특별시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,지방자치법,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,소관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,사무,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,감사,28.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,양심,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,보탬,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,그대로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,진술,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,서면,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,답변,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,거짓,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,위증,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,맹세,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,미술,10.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,실장,11.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,정호영,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,심정,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,해명,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,일도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,잘못,13.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,그간,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,나머지,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,임신,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,뇌종양,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,거지,11.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,의도,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,피하,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,려고,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,자진,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,상의,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,말씀,27.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,재직,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,겸임,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,결산,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,보지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,이기,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,다툼,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,여지,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,사인,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,일일이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,세심,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,여유,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,학부모,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,초점,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,통감,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,강압,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,시오,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,회계,12.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,결제,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,물품,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,애로,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,다기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,문제점,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,로서,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,어쨌든,14.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,바람,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,이사회,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,분도,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,팀원,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,그냥,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,나름,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,사임,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,인척,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,방과후,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,따님,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,이원경,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,원래,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,활성화,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,미고,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,주로,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,실기,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,수가,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,아마,10.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,책임자,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,그게,17.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,나중,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,직영,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,변명,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,반환,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,하여튼,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,거여,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,김치,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,예전,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,계란,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,급식,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,자주,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,서도,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,직접,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,운반,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,출판사,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,랜덤하우스,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,임대료,10.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,영월,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,얘기,13.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,서류,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,지출,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,반장,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,어차피,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,부설,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,과로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,친분,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,이십,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,전혀,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,연관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,사료,4.0
