회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,광진,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,교육지원청,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,김수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,지구별,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,반기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,후반기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,서너,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,시일,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,인건비,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,수련,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,참고,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,여름방학,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,요새,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,보름,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,안쪽,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,여름,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,아마,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,겨울방학,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,리라,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,일수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,거기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,점도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,권유,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,입인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,종료,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,거주,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,출입,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,구제,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,배정,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,중입,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,한해,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,특기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,교가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,관외,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,전역,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,특수성,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,전철,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,구간,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,이동,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,듭니,1.0
