회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,캠퍼스,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,교육과정,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,용이,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,개념,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,주시,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,송재형,11.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,강동,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,선거구,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,교육행정,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,평상시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,항상,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,지론,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,얘기,69.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,마침,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,앞서서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,김진수,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,부의,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,장님,13.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,관해,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,커리큘럼,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,그다음,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,재건축,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,재개발,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,폐교,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,중장,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,수급,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,상치,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,첫째,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,결과물,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,내내,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,분명,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,예산,82.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,불구,14.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,사무,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,감사,26.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,시오,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,서면,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,구두,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,서도,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,말씀,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,산업혁명,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,누누이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,초기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,학과,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,별로,17.0
