회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),송파도서관장 김선희,송파,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송파도서관장 김선희,김선희,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송파도서관장 김선희,글자,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송파도서관장 김선희,장서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송파도서관장 김선희,항상,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송파도서관장 김선희,주로,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송파도서관장 김선희,글씨,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송파도서관장 김선희,보시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송파도서관장 김선희,어르신,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송파도서관장 김선희,출판,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송파도서관장 김선희,협회,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송파도서관장 김선희,사려,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송파도서관장 김선희,구가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송파도서관장 김선희,점점,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송파도서관장 김선희,신경,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송파도서관장 김선희,직접,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송파도서관장 김선희,저작권법,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),송파도서관장 김선희,답변,1.0
