회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,영등포,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,평생,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,관장,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,김석일,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,금년,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,통상,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,신문고,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,별로,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,습관,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,내외,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,동일,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,무려,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,냉방,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,달라,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,건의,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,그다음,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,외관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,벽체,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,패널,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,부착,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,에어컨,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,단축,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,자율학습,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,무선인터넷,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,문의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,이용자,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,착의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,열람,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,노트북,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,디지털자료실,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,주로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,이분,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,아마,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,더위,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,무조건,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,오시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,먼저,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,군데,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,최상,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,최하,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,온도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,차이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,여름,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,실별,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,감안,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,환기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,직접,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,응대,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,오지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,현관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,입구,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,관리자,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,불찰,1.0
