회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,마포구,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,오경환,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,국정,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,농단,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,논쟁,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,남아,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,요즘,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,유행,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,용어,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,폐가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,문제점,11.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,국무회의,15.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,분권,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,도지사,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,교육부,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,도의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,백년,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,지대,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,적기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,헌법,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,개정안,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,직속,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,성격,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,의제,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,설정,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,실행,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,마찬가지,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,래야,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,자치도,1.0
