회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,의석,18.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,정돈,18.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,존경,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,지역구,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,의정,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,노고,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,조희연,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,비롯,10.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,사무,118.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,감사,263.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,수감,23.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,수고,135.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,정례,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,교육지원청,19.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,예산안,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,조례,16.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,효율,13.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,청과,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,별로,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,지방자치법,11.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,서울특별시,28.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,말씀,44.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,먼저,26.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,교육행정,17.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,부의,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,대하,23.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,면피,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,심사숙고,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,답변,64.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,주시,16.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,표명,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,수년,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,줄곧,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,예산,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,역사,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,교과서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,궤도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,비리,12.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,공교육,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,실화,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,사교육,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,숙제,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,남아,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,더욱,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,원님,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,오신,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,문제점,19.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,기탄,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,일천만,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,임해,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,소기,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,선서,32.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,서류,12.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,자가,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,정해진,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,기한,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,증인,21.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,증언,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,과태료,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,부과,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,위증,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,서면,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,거짓,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,오른손,11.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,서문,12.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,낭독,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,기립,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,서명,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,날인,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,직접,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,총무,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,정실,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,소관,18.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,이석,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,간부,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,소개,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,국별,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,이내,22.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,순서,14.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,간담,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,김진수,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,장님,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,조속,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,송재형,20.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,부위,64.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,성언,33.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,상대로,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,응답,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,구덕,22.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,형주,26.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,허기,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,오경환,12.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,김동욱,31.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,김경자,37.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,양천,37.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,장인,44.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,중식,6.0
