회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,안녕하십니까,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,서울특별시,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,유아교육,18.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,진흥,11.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,이경희,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,존경,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,김생,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,격려,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,대하,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,진심,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,감사,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,말씀,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,매우,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,사무,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,더욱,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,순서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,과로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,예산,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,보시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,부서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,인건비,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,실적,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,먼저,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,교육과정,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,실화,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,명의,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,배정,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,생애,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,기별,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,교직,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,경력,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,연수로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,초임,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,기와,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,숙기,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,사이버,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,초월,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,자의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,편의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,도모,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,수의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,교육부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,통합교육,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,유아기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,증진,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,지각,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,체력,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,신체,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,종이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,금년,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,개별,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,세트,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,활성화,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,멀티미디어,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,학부모,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,단기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,심화,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,조부모,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,동아리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,초등학교,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,심리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,모래,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,미술,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,연간,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,발간,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,리플,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,중이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,지성,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,감성,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,인성,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,거주,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,교재,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,교구,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,택배,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,플로터,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,도구,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,효율,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,교사,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,명과,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,전문성,1.0
