회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,이정훈,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,총무,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,모니터링,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,아침,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,실장,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,조실,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,노사,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,관실,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,무직,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,전산실,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,무사,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,과거,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,교무,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,전산,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,전혀,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,산지식,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,사가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,수습,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,해고,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,무기계약직,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,부적합,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,답변,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,사서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,도서실,1.0
