회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,선서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,본인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,서울특별시,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,지방자치법,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,소관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,사무,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,감사,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,양심,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,보탬,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,그대로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,진술,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,서면,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,답변,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,거짓,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,위증,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,맹세,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,정독,10.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,김희선,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,안녕하십니까,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,존경,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,김생,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,모시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,매우,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,앞서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,소개,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,강남,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,김명선,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,관장,16.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,강동,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,영경,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,강서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,이경희,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,개포,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,이명,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,고척,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,최윤,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,구로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,남산,1.0
