회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,중등교육,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,최광락,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,건대,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,사대부고,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,베트남어,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,전적,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,거기,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,외부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,의존,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,위촉,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,고요,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,스페인어,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,프랑스어,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,차이,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,거점,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,전역,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,서로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,교육과정,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,교환,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,근거리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,용이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,그다음,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,산이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,연인원,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,실험,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,말씀,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,공예,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,과도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,수익,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,초기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,로봇,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,방과후,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,본교,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,듣기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,정규,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,교명,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,절대,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,이수,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,교육부,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,법률,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,해석,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,종류,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,초등교육,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,총괄,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,조사해,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,양국,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,상호,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,기록,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,얘기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,고시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,비교,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,영양,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,보건,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,구분,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,별로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,아침,1.0
