회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,안녕하십니까,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,중부,19.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,교육지원청,22.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,교육장,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,전종,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,존경,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,김생,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,장인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,부위,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,송재형,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,의정,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,성원,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,대하,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,진심,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,감사,14.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,말씀,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,매우,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,서울특별시,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,사무,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,더욱,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,강북,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,소개,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,유재준,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,여신,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,박순자,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,김연,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,김영근,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,북부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,손창호,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,동지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,광진,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,영훈,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,장석윤,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,성북,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,현종,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,강동호,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,간부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,발췌,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,널리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,양해,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,순서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,책자,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,참고,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,주시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,예산,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,수록,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,지리,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,한양도성,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,대문,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,개교,16.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,이상인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,역사,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,자원,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,바탕,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,전통,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,교육비,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,인성,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,감성,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,지성,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,융합,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,가능성,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,교사,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,학부모,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,감동,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,어울림,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,교육행정,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,안착,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,유산,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,활성화,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,전통문화,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,적합,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,교육과정,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,새내기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,교구,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,청소용역,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,안성맞춤,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,정착,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,만들기,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,배움,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,동료,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,나눔,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,콘서트,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,수석교사,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,코칭,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,프로젝트,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,마중,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,종합예술,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,뮤지컬,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,연극,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,영화,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,상호,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,노하우,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,자치구,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,청과,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,발표회,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,경비,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,감수성,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,창의력,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,지역별,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,특색,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,교동,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,동초,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,암초,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,한강,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,모델,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,통한,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,교육활동,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,캠프,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,스스로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,자율,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,교복,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,평생교육,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,접근성,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,인프라,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,전용,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,결합,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,마인드,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,지구별,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,구현,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,학교폭력,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,길라잡이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,어깨동무,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,성교육,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,성폭력,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,청렴,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,주기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,특정,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,급식,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,방과후,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,부와,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,징수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,자의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,고충,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,별로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,인사컨설팅,1.0
