회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,선서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,본인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,서울특별시,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,지방자치법,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,소관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,사무,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,감사,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,양심,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,보탬,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,그대로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,진술,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,서면,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,답변,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,거짓,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,위증,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,맹세,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,중부,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,교육지원청,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,유재준,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,말씀,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,이십,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,액수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,중부교육청,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,공교육,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,나름,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,학폭,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,아동학대,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,성추행,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,정말,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,장학,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,서도,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,표명,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,의결,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,그게,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,격리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,골절,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,그다음,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,교사,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,고의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,불구,1.0
