회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,감사,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,사무관,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,임영식,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,영월,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,직접,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,출장,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,계시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,폐기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,진술,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,세입,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,회계,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,전혀,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,별개,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,말씀,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,실장,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,개전,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,보통,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,고문,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,수험생,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,과락,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,점수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,중간,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,갑자기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,과락점수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,미술,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,서양화,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,거기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,문제점,1.0
