회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,홍민표,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,다가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,교육부,15.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,교육과정,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,이수,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,그저께,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,근로자,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,신분,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,실습,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,학습자,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,로서,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,유예,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,잡고,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,학생인권,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,고용노동부,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,교육대학,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,근로기준법,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,노동법,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,담임,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,부서,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,예산,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,재학생,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,노동,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,사이버,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,형태,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,또래,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,지킴,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,이단,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,거기,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,진학,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,주로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,조례,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,자치구,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,총괄,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,콜센터,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,박람회,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,오시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,차등,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,문제점,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,고용,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,전념,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,지자체,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,서로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,정해,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,정례,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,개관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,머릿속,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,다짐,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,기금,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,패키지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,교통비,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,식비,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,자격증,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,공중위생,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,동등,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,미용,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,학과,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,건의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,보건복지부,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,달라,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,발송,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,긍정,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,아마,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,부여,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,명도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,개년,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,학점,1.0
