회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,말씀,16.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,공증,12.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,면제,10.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,조합원,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,변호인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,지난번,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,교육부,12.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,무리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,달라,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,건의,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,놨습니,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,거기,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,도로,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,이양,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,예산,20.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,성격,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,고집,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,아마,11.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,법무부,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,결성,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,서로,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,네트워크,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,형성,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,자치구,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,금년,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,서초구,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,용산,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,필수,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,크게,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,첫째,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,계교,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,육이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,꼭지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,거버넌스,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,가짓수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,수가,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,학부모,32.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,제화,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,별로,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,지원이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,실질,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,활성화,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,설문조사,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,과거,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,그다음,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,절실,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,여분,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,한해,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,형태,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,발표회,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,내면,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,교의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,자문,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,캠프,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,동감,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,어쨌든,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,화로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,네트워킹,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,내지,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,원탁,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,주로,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,면서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,주체,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,한계,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,자발,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,부모님,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,중복,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,추천,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,형식,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,원래,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,특교사업,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,갑자기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,차등,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,나름,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,지원청,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,창덕,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,여중,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,상근직,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,개별,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,콜센터,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,요원,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,커버,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,캘린더,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,사이버,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,강좌,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,장지원,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,무기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,미집,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,통계,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,고가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,현저,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,방과후,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,고등학생,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,한도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,산정,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,금액,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,초등학교,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,불구,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,소진하,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,답변,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,조례,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,학교생활,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,패턴,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,권장,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,이기,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,개진,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,부여,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,예시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,로서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,먼저,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,존중,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,배당,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,거꾸로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,온라인,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,불만,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,차출,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,할당,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,교육지원청,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,오시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,분도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,요새,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,거점,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,차이점,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,전가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,복지,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,보충,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,이상은,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,항상,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,실상,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,구결,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,낙인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,자존감,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,일일이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,달리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,학업,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,전념,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,여유,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,여의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,치가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,방금,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,소득,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,직접,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,또래,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,끼리,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,동아리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,점점,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,대응,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,매칭,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,일주일,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,비롯,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,목요일,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,증액,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,부적,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,대폭,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,그게,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,의치,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,부서,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,보완,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,미지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,계해,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,인건비,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,전혀,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,정단,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,나중,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,원망,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,거지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,반응,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,구상,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,급수,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,추후,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,학생회,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,모제,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,유아교육,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,알기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,병설,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,구성원,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,중등교육,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,의거,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,조항,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,일률,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,정착,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,초기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,연도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,총회,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,결의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,의사록,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,번은,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,독산,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,수의,1.0
