회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,초등교육,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,이재관,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,지자체,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,더욱,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,실화,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,지대,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,네트워크,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,잡고,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,그거,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,교육부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,저녁,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,남아,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,점점,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,말씀,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,의도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,방과후,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,적우,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,수반,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,나이스,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,그냥,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,수치,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,차이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,아마,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,실수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,거나,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,착오,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,체인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,적체,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,명의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,음영,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,표시,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,임용,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,절벽,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,혼선,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,의중,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,제대로,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,애초,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,참고,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,사교육,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,학부모,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,재능,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,보충수업,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,영어,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,간의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,최저,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,입찰,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,손실,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,상쇄,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,실질,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,직영,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,수가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,자율,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,인건비,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,보전,1.0
