회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,안녕하십니까,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,총무,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,손영순,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,존경,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,김생,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,장인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,부위,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,송재형,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,더욱,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,먼저,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,봉사,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,기록관리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,명의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,후생,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,복지,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,콜센터,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,기록물,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,정보공개,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,예산,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,공헌,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,직문,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,외적인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,봉사활동,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,다문화,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,담장,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,벽화,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,그리기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,가게,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,물품,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,기증,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,헌혈,1.0
