회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,특정,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,감사,14.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,창신,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,사무관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,초기,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,진술서,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,그다음,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,피해자,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,학부모,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,재벌,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,손자,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,가해,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,아예,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,경찰관,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,전화,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,자문,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,달라,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,연락,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,취하,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,의적,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,배제,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,황도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,잘못,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,그냥,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,실수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,부연,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,수사의뢰,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,증거,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,로만,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,가해자,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,불법,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,유출,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,그대로,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,핸드폰,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,전송,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,치료,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,결석,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,일수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,유급,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,얘기,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,다가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,입원,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,하라,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,하든,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,치가,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,스스로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,서로,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,형편,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,말씀,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,재심,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,왜곡,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,먼저,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,보도자료,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,측면,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,그게,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,권한,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,작용,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,끼리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,비밀,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,준수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,상세,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,거기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,가담,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,상당수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,취지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,증언,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,제대로,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,담임,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,교사,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,분실,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,도부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,대질,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,문답,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,고의,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,성은,1.0
