회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,평생교육,12.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,진영,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,지난번,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,원래,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,관실,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,아마,11.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,편제,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,무리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,부감,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,결재,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,깊이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,내야,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,부서,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,평생,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,습관,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,위상,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,존치,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,나중,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,종료,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,말씀,10.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,실적,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,착오,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,장단점,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,후반기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,교습,11.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,하라,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,차이,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,실정,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,일종,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,그게,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,역청,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,매년,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,곳도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,그대로,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,자율,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,거기,10.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,물가,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,연동,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,상급,3.0
