회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,안녕하십니까,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,보건,16.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,진흥,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,박연선,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,존경,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,김생,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,장인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,부위,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,송재형,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,비롯,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,보고서,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,책자,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,특색,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,대하,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,교직원,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,정신건강,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,증진,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,적응,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,요원,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,명의,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,의료,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,교사,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,금회,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,밀알,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,복지,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,소득,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,희귀,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,난치,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,질환,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,시력,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,안면,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,수술,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,치료,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,부천,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,푸른,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,봉사,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,심장질환,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,검진,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,습관,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,형성,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,체험학습,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,비만,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,편식,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,초등학교,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,캠프,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,흡연,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,금연,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,국고,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,보조금,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,배정,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,또래,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,리더십,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,안전,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,만들기,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,학부모,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,상담사,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,포스터,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,공모전,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,출품,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,부스,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,교구,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,대여,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,예산,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,실적,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,종료,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,인건비,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,지원이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,작품,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,급식,19.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,안전성,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,접촉,1.0
