회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,공제,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,사무국,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,무수,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,초등학교,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,교육활동,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,지병,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,연관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,갑자기,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,아마,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,방과후,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,계단,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,건수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,보상,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,보상금,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,파트,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,학교폭력,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,안전,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,배상,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,수익,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,법률,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,수입,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,금액,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,예측,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,지출,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,괴리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,교육부,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,예산,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,불합리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,접근,1.0
