회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교지원과장 신재웅,신재웅,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교지원과장 신재웅,중부교육청,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교지원과장 신재웅,배정,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교지원과장 신재웅,말입,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교지원과장 신재웅,중입,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교지원과장 신재웅,개포,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교지원과장 신재웅,크게,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교지원과장 신재웅,개교,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교지원과장 신재웅,중랑구,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교지원과장 신재웅,소관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교지원과장 신재웅,애로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교지원과장 신재웅,전화,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교지원과장 신재웅,설문조사,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교지원과장 신재웅,인적,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교지원과장 신재웅,전화번호,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교지원과장 신재웅,요즘,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교지원과장 신재웅,개인정보,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교지원과장 신재웅,유관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교지원과장 신재웅,소요,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교지원과장 신재웅,용역,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교지원과장 신재웅,거기,1.0
