회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,예산,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,구안,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,대안교육,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,한번,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,공통,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,특화된,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,법률,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,형태,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,원적,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,말씀,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,학생회,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,상담사,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,무직,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,이기,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,액제,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,인건비,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,액수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,클래스,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,차이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,거기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,기입,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,주로,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,변동,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,성북,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,강북,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,교육지원청,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,변호사,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,중복,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,서류,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,면접,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,오해,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,지난번,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,학생인권,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,개년,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,교권,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,추경,1.0
